apple | 1.31 | 22 | 17
orange | 1.32 | 20 | 17
grapes | 2.61 | 18 | 17
celery | 2.00 | 16 | 17
carrots | 1.00 | 14 | 17
lettuce | 1.50 | 12 | 17
tomatoes | 1.50 | 10 | 17
peppers | 3.00 | 8 | 17
avocadoes | 1.79 | 6 | 17
milk | 2.35 | 23 | 16
eggs | 1.22 | 23 | 15
cheese | 4.94 | 23 | 14
yogurt | 1.56 | 23 | 15
butter | 3.31 | 23 | 14
salmon | 12.50 | 23 | 13
ground beef | 3.70 | 23 | 12
tenderloin Steak | 13.98 | 23 | 11
ribeye steak | 8.98 | 23 | 10
sausage | 3.00 | 23 | 9
shrimp | 13.99 | 23 | 8
